Column1,Column2,Column3,Column4
plan.name.title.standardannual,Standard,Standard,
lease.field.unit.hotWater,Eau Chaude,Hot water,
lease.action.view.title.storage,Bail pour l'entreposage,Storage lease,
building.information,Informations du bâtiment,Building information,
unit.title.type.residential,Résidentiel,Residential,
taskRule.task.type.to_pay,À payer,To pay,
core.file.error.empty,Aucun fichier disponible,No file available,
supplier.action.edit.title,Modification d'un fournisseur,Edit a supplier,
user.users.list.field.validated,Validé,Effective,
core.action.edit,Modifier,Edit  ,
landlord.taskRules.error.dialog.title,Changer de forfait,Change plan,
bankAccount.select.error.empty,Il n'existe aucun compte bancaire pour le moment. Vous pouvez en ajouter un dès maintenant !,There is no bank account at the moment. You can now add one!,
core.action.save,Sauvegarder,Save,
taskRule.field.amount.maximum,Montant maximum,Maximum amount,
core.amount.credit,Crédit,Credit,
invoice.reason.reject.claim,Réclamation,Claim,
user.block.message.title,Bloquer cet utilisateur ,Block this user,
gl_account.type.expense,Dépense,Expense,
plan.description.users.personal,Accès avec vues personnalisées,Personalized viewing,
authentication.forgot-password.text.redirect,Vous serez redirigé dans,You will be redirected in,
core.congratulations,Félicitations !,Congratulations !,
extract.format.csv,CSV,CSV,
invoice.status.to_approve,À approuver,To approve,
invoice.add.payment,Ajouter un paiement,Add payment,
lease.error.newEndDate.notAcceptable,La nouvelle date de fin doit être supérieure à la date de fin antérieurement saisie.,The new end date must be greater than the end date previously entered.,
invoice.imputation.amount.negative.message,L’imputation est présentement négative.,The imputation is currently negative.,
core.error.not_acceptable.message,"En agissant en tant que serveur proxy ou passerelle, le serveur a reçu une réponse invalide depuis le serveur distant. ","When acting as a proxy server or gateway, the server received an invalid response from the remote server.",
authentication.sign-up-email.input.email,Courriel,Email,
core.location.address,Adresse,Address,
building.field.unit.number,Nombre d'appartements,Number of apartments,
invoice.action.add.first.message,Ajouter une première facture,Add a first invoice,
invoice.menu.tab.title,Payables,Payables,
document.action.add.title,Ajout d'un document,Add a document,
building.field.contact,Gestionnaire de l’immeuble,Building manager,
invoice.status.payment,Statut du paiement,Payment status,
authentication.social-sign-up.text.could-not-connect,La connexion à {{provider}} a échouée.,Connection to {{provider}} failed.,
plan.benefit.bank.professional.description,"Au courant de l'année 2022, avec le forfait Premium, vous pourrez associer votre compte Wazo à 10 comptes bancaires.","During the year 2022, the Premium plan will allow you to issue 10 bank accounts within the app.",
invoice.message.no_attachment,"Si vous cherchez à balancer les rapports, veuillez utiliser les ""Transactions comptables"". Sinon, vous devrez remplir tous les champs ci-dessous.","If you are looking to balance reports, please use ""Accounting Transactions"". Otherwise, you will need to fill in all the fields below.",
plan.field.haveActiveSubscription,Paiement,Payment,
lease.revoked.date.invalid,Date invalide,Invalid date,
authentication.sign-up-email.error.email.duplicate,"Cette adresse email est déjà utilisée, merci de bien vouloir en saisir une différente.","This email address is already in use, please enter a different one.",
payment.plan.form.error.tax_number.canada,"Le numéro de taxe doit avoir maximum 20 caractères et seulement des lettres, chiffres ainsi que (-_.) ","Tax Number should respect : Max 20 caracters and only letters, numbers and (-_.)",
plan.ref.col.mobility,Mobilité,Mobility,
building.field.elevator,Ascenseur,Elevator,
authentication.login.create.account.description,Nouveau sur WAZO ? Créer un compte.,New on WAZO? Create an account.,
lease.field.unit.internet,Internet,Internet,
document.category.buy_sell,Acquisition et vente,Acquisition and sale,
lease.action.view.title.tenant,Bail pour le locataire,Lease for the tenant,
building.delete.message.description,Ce bâtiment sera supprimé définitivement.,This building will be permanently deleted.,
lease.renew.in.pending.title,RENOUVELLEMENT EN ATTENTE,RENEW IN PENDING,
taskRule.title,Règle d’approbation,Approval rule,
lease.do.not.renew.title,NE PAS RENOUVELER,DO NOT RENEW,
lease.occupation.date,Date d'occupation,Occupation date,
building.addContact,Ajouter un contact,Add a contact,
lease.select.payment.frequency,Choisir la fréquence de paiement,Choose payment frequency,
core.action.search,Rechercher,Search,
storage.select.warning.link,"Si vous le souhaitez, vous pouvez ajouter un entreposage. ","If desired, you can add a storage.",
core.expense.account,Compte de dépenses,Expense account,
authentication.forgot-password.button.continue,Continuer,Continue,
core.status.unactivated,Désactivé ,Disabled,
plan.description.accounting.title,Comptabilité intelligente,Smart Accounting,
lease.new.net.rent.amount,Nouveau montant du loyer net,New net rent amount,
authentication.reset-password.text.error.password-strength,"Un bon mot de passe doit contenir 1 majuscule, 1 nombre, 1 caractère spécial ainsi que des lettres.","A good password should contain 1 uppercase, 1 number, 1 special caracter mixed with letters.",
lease.status.unactive.plural,Baux révoqués,Revoked leases,
parking.title.type.garage,Garage ,Garage,
lease.promotion.frequency.error,Vous devez choisir une valeur,You must choose a value,
unit.select.warning.link,"Si vous le souhaitez, vous pouvez ajouter un appartement.","If you wish, you can add an apartment.",
user.profile.storage.invoice.title,Factures,Invoices,
plan.benefit.price.with,avec le code promo,with promo code,
core.action.backward,Retour,Return,
core.error.not_implemented.code,Erreur 501 ,501 Error,
storage.action.edit.title,Modification d'un entreposage,Edit a storage,
lease.label.input.notes.placeholder,Tapez quelque chose...,Type something...,
document.field.date,Date du document,Document date,
user.field.lastConnection.label,Dernière connexion,Last connection,
user.field.language.value.fr,Français,French,
core.order.alphabetical.reverse,Z à A,Z to A,
invoice.upload.without.scan.ocr,Scanner une facture (sans Smart data),Scan an invoice (without Smart data),
user.unlock.message.description,Cette action débloquera ce compte utilisateur,this action will unlock this user account,
plan.description.realestate.tenant.description,Wazo vous permet d'ajouter un nombre illimité de locataires et d'accéder à toutes leurs informations en quelques clics.,Wazo allows you to add an unlimited number of tenants and access all their information in a few clicks.,
user.profile.error.payment_default.owner,Votre paiement a été refusé. Merci de vous rendre sur le site web de WAZO afin d'actualiser vos informations de facturation pour continuer d'accéder à WAZO.,Your payment was declined. Please update your billing information on the WAZO website in order to maintain your access to WAZO.,
core.status.created,L'action a été complétée avec succès,Operation successful,
authentication.sign-up.message.success,Votre compte a été crée,Your account was created,
invoice.imputation.action.add.glCode,Ajouter un compte GL,Add a GL Account,
user.field.language.value.en,Anglais,English,
core.amount.outstanding,Montant à recevoir,Amount to be received,
lease.action.renew.message,Vous souhaitez renouveler le bail,You wish to renew the lease,
invoice.reason.reject.wrong_amount,Montant incorrect,Wrong amount,
plan.description.mobile.rent.description,"Via son application mobile, Wazo vous permet de faire le suivi de vos encaissements de loyer.","Via its mobile application, Wazo allows you to track your rent receipts.",
core.bank.transit.number,Numéro de transit bancaire,Bank transit number,
landlord.taskRules.error.dialog.no.label,Annuler,Cancel,
lease.field.unit.heated,Chauffage,Heater,
plan.benefit.bank.base,1 compte bancaire (À venir),1 bank account (Coming soon),
invoice.reason.reject.wrong_agreement,Non conforme à l'accord,Not in accordance with the agreement,
hello.label,Bonjour,Hello,
ppa.reference_type.rent_unit_ppa,Appartement,Apartment,
core.error.service_unavailable.code,Erreur 503 ,503 Error,
authentication.login.error.message,Mauvais mot de passe ou nom d'utilisateur,Wrong password or username,
invoiceTask.invoice.form.supplier.hint,Saisir au moins 3 caractères pour rechercher ,Enter at least 3 characters to search,
plan.benefit.users.base,1 utilisateur,1 user,
accounting.report.balance.current.title,Courant,Current,
plan.description.realestate.creation.description,Wazo vous permet d'ajouter un nombre illimité de bâtiments et d'appartements. Ceux-ci doivent être ajoutés sur la version ordinateur de Wazo.,Wazo allows you to add an unlimited number of buildings and apartments. These must be added on the desktop version of Wazo.,
building.field.laundryRoom,Salle de lavage,Laundry room,
invoiceTask.reject.reason.low.quality.image,Image de mauvaise qualité,Poor quality image,
payment.plan.form.country,Pays,Country,
lease.status.do_not_renew,Ne pas renouveler,Do not renew,
invoice.status.ocr,Smart data,Smart data,
authentication.sign-up-email.checkbox.read-and-accept,J'ai lu et j'accepte les ,I have read and accept the ,
accounting.report.balance.liability.title.plural,PASSIFS,LIABILITIES,
plan.title,Plan,Plan,
signup.welcome,Bienvenue,Welcome,
building.title,Bâtiment,Building  ,
core.action.upload.clear.upload.error,"Votre téléversement a réussi. Par contre, le fichier n’a pu être effacé de l’appareil.","Your upload was successful. However, the file could not be deleted from the device.",
accounting.report.balance.asset.total.plural,MONTANT TOTAL ACTIFS,TOTAL AMOUNT ASSETS,
authentication.forgot-password.link.go-back-to-login,Retourner à la page de connexion,Go back to login,
core.action.approve,Approuver,Approve,
landlord.action.taskRules,Voir les Règles d’approbation,See the Approval Rules,
lease.create.error.end.date.start.date,Vous ne pouvez pas créer de bail. La date de fin doit être supérieure à la date de début.,You can not create a lease. The end date should be greater than start date.,
gl_account.title,Compte GL,GL Account,
extract.format.pdf,PDF,PDF,
supplier.id,Identification du fournisseur,Supplier identification,
lease.renew.title,RENOUVELER,RENEW,
invoiceTask.paymentControl.title,Contrôle de paiement,Payment control,
core.validation,Validation,Validation,
authentication.reset-password.title,Réinitialiser mot de passe,Reset password,
core.action.upload.cancel,Annuler le téléversement,Cancel upload,
core.action.back,Précédent,Previous,
core.notification.title,Notification,Notification,
core.fingerprint,Empreinte digitale,Digital print,
user.profile.billing.date.next,Prochain prélèvement,Next billing,
core.notification.title.plural,Notifications,Notifications,
ppa.status.error,Manque de fonds,Insufficient funds,
parking.field.type,Type de stationnement,Type of parking ,
manager.invitation.delete.message.description,L'invitation suivante va être supprimée ,The following invitation will be deleted,
plan.alert.cancel.noLabel,Annuler,Cancel,
accounting.report.action.generate,Génerer le rapport,Generate report,
ppa.reference_type.invoice_ppa,Facture,Invoice,
lease.select.tenant,Sélectionner un locataire,Select a tenant,
lease.frequency.error.quarterly,Le bail doit avoir 168 jours au minimum,The lease must be at least 168 days old,
plan.price.per_year,/ an,/ year,
taskRule.action.add,Ajouter une règle,Add rule,
lease.discount,Rabais,Discount,
parking.action.add.first.message,Ajouter votre premier stationnement,Add your first parking,
plan.description.realestate.title,Administration Immobilière,Real Estate Management,
unit.action.add.first.message,Ajouter votre premier appartement,Add your first apartment,
lease.add.new.lease,Ajouter un nouveau bail,Add a new lease,
plan.alert.cancel.content,Voulez-vous vraiment annuler votre forfait payant?,"You are about to cancel your paid plan, do you want to continue?",
building.select.error.empty,Il n'existe actuellement aucun bâtiment pour ce propriétaire.,There is currently no building for this owner.,
invoiceTask.approbation.title.plural,Approbations,Approvals,
authentication.sign-up.plan.ref.doors,Nombre de portes illimité,Number of doors unlimited,
unit.title.size_type.loft,Loft,Loft,
tenant.action.add.first.message,Ajouter votre premier locataire,Add your first tenant,
authentication.sign-up-email.button.sign-up.manager,Vous êtes invité à collaborer!,You are invited to collaborate!,
error.bad.value,Mauvaise valeur,Bad value,
plan.benefit.rules.professional,Règles d’approbation,Approval rules,
core.form.error.field,Merci de vérifier et compléter les champs obligatoires (*),Please check and complete the required fields (*),
receivable.status.error,Erreur,Error,
unit.field.type,Type d'appartement,Type of apartment,
plan.alert.downgrade.title,Attention,Warning,
invoice.status.approval.to_approve,À approuver,To approve,
receivable.manual.title,Recevable manuel ,Manual receivable,
payment.plan.form.credit.card.number,Numéro de carte,Card number,
parking.title.type.external_parking,Stationnement extérieur ,Outdoor parking,
core.action.choose.status,Sélectionnez un statut,Select a status,
manager.error.disabled.dialog.title,Attention,Warning,
invoiceTask.approbator.title.plural,Approbateurs,Approvers,
bookEntry.title.plural,Entrées comptables,Accounting entries,
user.delete.message.description,Cette action ne peut être renversée. Êtes-vous certain de vouloir supprimer cet utilisateur?,This action cannot be undone. Are you sure you want to delete this user?,
plan.ref.col.doors,Porte autorisée,Authorized door,
tenant.action.add,Ajouter un locataire,Add a tenant,
authentication.mobile.local.keep-app-locked,Garder l'application verrouillée,Keep App locked,
lease.action.view,Voir le bail,See the lease,
accounting.report.balance.equity.title.plural,CAPITAUX PROPRES,EQUITY,
document.category.funding,Financement,Funding,
authentication.logout.title,Se déconnecter,Sign out,
payment.plan.form.btn.back.to.plan,Retour au choix du plan,Return to plan choice,
plan.save.tax.text,Taxes incluses.,Tax included.,
core.copyright,Copyright,Copyright,
core.error.no_access.message,"Vous n’avez pas les droits d'accès pour le moment, votre compte est possiblement en cours d’approbation. N’hésitez pas à prendre contact avec l'administration. ","You do not have access rights at the moment, your account may be in the process of being approved. Do not hesitate to contact the administration.",
core.action.choose.type,Sélectionnez un type,Select a type,
authentication.login.error.account.locked,"Au vu d'un trop grand nombre de tentatives de connexion, votre compte a été bloqué. Contactez nous pour le débloquer."," Due to too many connection attempts, your account has been blocked. Contact us to unlock it.",
unit.select.error.empty,Il n'existe actuellement aucun appartement pour ce bâtiment.,There is currently no apartment for this building ,
invoice.status.paid,Payé,Paid,
payment.plan.plan.code.std.month,Standard/mois,Standard/month,
tenant.action.contact,Contacter le locataire,Contact the tenant,
building.select,Sélectionner un bâtiment,Select a building ,
core.phone.error.invalid,Le numéro de téléphone ne respecte pas le format.,The phone number does not follow the format. ,
user.block.message.description,Cet utilisateur a une souscription Recurly active. Le blocage de cet utilisateur entrainera l'annulation du renouvellement de la souscription Recurly au prochain cycle de facturation. Cette action ne pourra être renversée. Êtes-vous certain de vouloir procéder? ,This user has an active Recurly subscription. Blocking this user will cancel the renewal of the Recurly plan at the next billing cycle. This action cannot be undone. Are you sure you want to proceed?,
authentication.mobile.local.face-id,Face ID,Face ID,
core.action.userView,Connecter,Connect,
core.collection.payment.date,Date de paiement,Payment date,
invoice.reason.reject.no_service,Service non rendu,Service not rendered,
invoiceTask.warning.contact.wazo,Veuillez contacter Wazo.,Please contact Wazo.,
user.profile.error.payment_default.no_label,Se déconnecter,Log out,
bankAccount.upgrade.plan.sync,Plan de mise � niveau pour synchroniser le compte bancaire,Upgrade plan to sync bank account,
invoice.action.add.imputation,Ajouter une imputation,Add a charge,
manager.error.disabled.dialog.yes.label,Souscrire à un plan,Subscribe to a plan,
invoice.readOnly,Mode lecture uniquement,Read only mode,
core.network.error.feature.functionality,Cette fonctionnalité n'est disponible que lorsque vous êtes connecté au réseau.,This feature is only available when you are connected to the network.,
user.field.validated.account.label,Valider,Validated,
invoice.action.attachment.not-exist,Cette facture n'a pas de pièce jointe,This invoice has no attachment,
plan.alert.upgrade.title,Veuillez confirmer la transaction,Please confirm the transaction,
plan.switch.yearly,Annuel,Annually,
lease.field.discount,Montant/Pourcentage de la promotion,Promotion amount / percentage,
supplier.field.type,Type de fournisseur,Supplier type,
lease.status.other.plural,Autres baux,Other leases,
lease.action.add.title.tenant,Ajout d'un bail pour le locataire,Add a lease to the tenant,
authentication.sign-up-email.label.back-to-login,Déjà un compte Wazo ?,Already have a Wazo account?,
accounting.report.statement.income.title.plural,REVENUS,REVENUE,
bankAccount.field.addBankAccount,Ajouter des informations financières,Add financial information,
core.error.not_found.code,Erreur 404 ,404 Error,
user.users.list.field.termsAccepte,Conditions générales acceptées,General conditions accepted,
plan.ref.col.notification,Notification,Notification,
unit.title.size_type.house,Maison,House,
authentication.sign-up-email.input.confirm-password,Confirmer le mot de passe,Confirm password,
accounting.action.add.title,Créer une transaction,Add a transaction,
authentication.login.footer.dpa,ATD,DPA,
parking.action.add,Ajouter un stationnement,Add parking,
tenant.field.bankTransitNumber,Numéro de transit bancaire,Financial institution transit number,
core.information.main,Informations principales,Main information,
type.title,Type,Type,
landlord.action.contact,Contacter le propriétaire,Contact the owner,
plan.redirect.landlord,Vous allez être redirigé vers votre compte dans quelques secondes...,You will be redirect to your account in few seconds.,
building.field.schoolTax,Taxe scolaire en vigueur,Current school tax,
user.userProfile.unactivated,Désactivé,disabled,
landlord.action.add.first.message,Ajouter votre premier propriétaire,Add your first owner,
invoice.balance.payment,Solde restant,Invoice balance,
building.newBuilding,Nouveau bâtiment,New building,
plan.ref.col.payment.solution,Solution de paiement (PPA),Payment solution (PPA),
building.field.fitnessRoom,Salle de sport,Gym,
user.profile.error.payment_default.content,Votre paiement a été refusé. Merci d’actualiser vos informations de facturation. Faute de régularisation vous ne pourrez pas accéder à votre parc immobilier.,Your payment was declined. Please update your billing information or you will not be able to access your properties.,
core.upload.acceptedTypes,Types de fichier acceptés,Types accepted,
supplier.select.error.empty,Il n'existe actuellement aucun fournisseur.,There is currently no supplier.,
parking.select.error.link,Vous devez déjà ajouter un stationnement. ,You must already add a parking lot.,
unit.title.furniture.furnished,Meublé ,Furnished,
core.error.no_access.code,Accès impossible ,Impossible to access,
building.field.active.unit.plural,Unités actives,Active units,
manager.accept.message.success,Vous avez bien été ajouté en tant que manager ! ,You have been added as a manager,
accounting.report.balance.liability.total.plural,MONTANT TOTAL PASSIFS,TOTAL AMOUNT LIABILITIES,
user.account,Mon compte,My account,
invoiceTask.reject.reason.not.accordance.with.agreement,Non conforme à l'accord,Not in accordance with the agreement,
email.reset.password.subject,Mot de passe réinitialisé,You password has been reset,
invoiceTask.approbation.title,Approbation,Approval,
user.validate.message.description,Cette action validera le compte d'utilisateur ,this action will validate this user account,
supplier.title.type.small.plural,Petits fournisseurs,Small suppliers,
invoice.information.additional.plural,Informations additionnelles,Additional information,
plan.ref.col.lease.document,Bail électronique et gestion de document,Electronic lease and document management,
invoice.upload.add.attachment,Ajouter une pièce jointe,Add attachment,
tenant.delete.message.description,Ce locataire sera supprimé définitivement.,This tenant will be permanently deleted,
taskRule.delete.message.description,Cette règle sera supprimée définitivement.,This rule will be permanently deleted,
core.action.cancel,Annuler,Cancel  ,
tenant.field.bank,Nom de l'institution financière,Financial institution name,
document.category.professional_services,Services professionnels,Professional services,
lease.tenants.dialog.title,Allocation fréquentiel de loyer,Frequency Rent Allocation,
core.contact.second,Contact secondaire,Secondary Contact,
invoiceTask.error.missing.date,Date manquante,Missing date ,
core.yes,Oui,Yes,
landlord.field.type.personal,Gestion Personnelle,Personal management,
payment.plan.form.first.name,Prénom,First name,
core.action.reject,Rejeter,To reject,
unit.title.furniture.not_furnished,Non meublé,Unfurnished,
core.action.choose.category,Sélectionnez une catégorie,Select a category,
invoice.title,Facture,Invoice,
core.action.add.comment,Ajouter un commentaire,Add a comment,
lease.frequency.rent.amount,Montant fréquentiel du loyer,Total frequency rent amount,
lease.number.of.room,Nombre de pièces,Number of rooms,
taskRule.task.type.rejected,Rejeté,Rejected,
invoice.reason.reject.litigation,Litige,litigation,
core.action.next,Suivant,Next ,
plan.description.accounting.statements.description,Les écritures comptables sont automatisés lorsque vous entrez vos données dans l'application.,Accounting entries are automated when you enter your data into the application.,
recurly.credit.rest,Crédit restant,Remaining credit,
signup.validate-email,Validez votre adresse courriel,Please validate email,
invoice.reason.reject.already_received,Facture déjà reçue,Invoice already received,
core.label.in,dans,In,
core.error.server_error.message,Erreur interne du serveur ,Internal server error,
building.field.buildingSurface,Surface du bâtiment,Building surface,
core.title,Titre,Title,
payment.plan.billing.information.title,Informations de facturation,Billing informations,
core.action.add,Ajouter,Add,
invoice.reason.reject.wrong_company,Société incorrecte,Not the right company,
plan.base.storage.title,500mb,500mb,
taskRule.delete.cant.close,Fermer,Close,
core.action.add.photo,Ajouter une photo,Add a picture,
user.profile.billing.action.change,Changer ses informations de facturation,Change billing information,
building.field.landValuation,Estimation du terrain,Estimate of the value of the land,
supplier.action.add,Ajouter un fournisseur,Add a supplier,
core.action.filter,Filtrer,Filter,
invoiceTask.paymentControl.action.schedule,Planifier un paiement,Schedule a payment,
authentication.sign-up-email.button.sign-up.manager.form,Créer un compte,Create an account,
taskRule.title.plural,Règles d’approbation,Approval rules,
authentication.sign-up-email.input.password,Mot de passe,Password,
lease.tenants.dialog.description,Veuillez saisir tous les locataires associés au bail,Please enter all the tenants associate to the lease,
payment.plan.form.company.name,Nom de l'entreprise,Company Name,
core.email,Courriel,Email,
parking.title.plural,Stationnements,Parking lots,
core.email.plural,Courriels,Emails,
landlord.error.dialog.manager.content,La limite de gestionnaires de compte autorisée par le plan actuel a été atteinte. Merci de contacter le propriétaire du compte pour qu’il passe au plan supérieur de Wazo.,The limit of managers included in the current plan has been reached. Please contact the Account Owner. The  subscription plan needs to be upgraded in order to activate an additional manager.,
plan.standard.who.title,L’outil idéal pour l’administration sans tracas,The ideal tool for hassle-free administration,
core.date,Date,Date,
receivable.warning.contact.wazo,Veuillez contacter Wazo.,Please contact Wazo.,
ppa.reference_type.manual_receivable_ppa,Manuel,Manual,
payment.plan.form.btn.submit,Procéder,Proceed,
receivable.discount.type.percentage,Pourcentage ,Percentage,
lease.label.tenant.cancel.button,Annuler,Cancel,
lease.frequency.promotion.choose,Choisir la fréquence de promotion,Choose promotion frequency,
invoice.reason.reject.missing_element,Élement manquant,Missing element,
ppa.status.ok,OK,OK,
core.status.activated,Activé ,Activated,
unit.label.no.unit,Aucun appartement,No apartment,
invoice.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer cette facture ?,Do you want to delete this invoice?,
supplier.title,Fournisseur,Supplier  ,
extract.format.excel,Excel,Excel,
invoice.reason.reject.missing_purchase_order,Bon de commande manquant,Missing purchase order,
core.amount,Montant,Amount,
ppa.emitter.or.receptor,Émetteur ou récepteur,Transmitter or receiver,
authentication.sign-up.preferred-language,Langage de communication,Preferred language,
plan.description.mobile.building.description,"Via son application mobile, Wazo vous permet d'accéder à toutes vos informations d'immeuble en quelques clics.","Via its mobile application, Wazo allows you to access all your building information in a few clicks.",
plan.ref.col.title,Forfait,Package,
book.transaction.delete.message.title,Êtes-vous vraiment sûr(e) de vouloir supprimer cette entrée ?,Do you want to delete this entry?,
authentication.login.error.plan.unselected,Votre compte est incomplet. Merci de vous rendre sur le site web de WAZO afin de souscrire à un plan et accéder à WAZO.,"Your account is not complete, please choose your subscription plan on the WAZO website.",
invoice.title.plural,Factures,Invoices,
plan.feature.available_soon,Bientôt disponible !,Available soon !,
authentication.reset-password-success.button.go-to-login,Aller à la page de connexion,Go to login,
lease.unit.assignTenant,Associer un locataire à une unité,Associate a tenant with a unit,
authentication.sign-up-email.error.language.required,Veuillez sélectionner la langue de communication,Preferred language is required,
landlord.select,Sélectionner un propriétaire,Select a owner ,
rentItem.title.plural,Unités,Units,
invoiceTask.approbator.title,Approbateur,Approver,
user.role.field.role_manager_employee.details,Le gestionnaire immobilier est un rôle avec un accès illimité à l’ensemble de votre parc immobilier et à l’information financière.,The real estate manager has unlimited access to everything this includes information on the real estate portfolio and financial information.,
core.location.postalCode,Code Postal,Postal code,
lease.status.active,Bail actif,Active lease,
core.action.faq.open,FAQ,FAQ,
core.error.service_unavailable.message,Service temporairement indisponible ou en maintenance. ,Service temporarily unavailable or under maintenance.,
building.field.landSurface,Surface du terrain,Land area,
accounting.report.statement.expense.title.plural,CHARGES,EXPENSES,
user.userProfile.user,Utilisateur,User,
authentication.forgot-password.text.recuperation-email-sent,Courriel de récupération envoyé!,Recuperation email sent!,
invoice.total.error,Le montant doit être une valeur numérique supérieure à 0,The amount should be a numeric value above 0,
invoiceTask.paymentControl.title.plural,Contrôles de paiement,Payment controls,
accounting.report.balance.liability-equity.total,MONTANT TOTAL PASSIFS ET CAPITAUX PROPRES,TOTAL AMOUNT LIABILITIES AND EQUITY,
user.profile.error.payment_default.owner.manager,Votre paiement a été refusé. Merci de vous rendre sur le site web de WAZO afin d'actualiser vos informations de facturation. Faute de régularisation vous perdrez vos accès à votre parc immobilier.,Your payment was declined. Please update your billing information on the WAZO website or you will lose access to your properties.,
building.moreInformation,Informations complémentaires,Further information,
storage.field.heated,Chauffé,Heated,
user.search.title,Rechercher un utilisateur,Find user,
quote.add.scope.expansion.1.title,Conditions,Conditions,
core.error.gateway_timeout.message,Le serveur est submergé de demandes ou fait l'objet d'une maintenance. ,The server is overwhelmed with requests or undergoing maintenance.,
lease.prompt.message.delete.tenant,Voulez-vous supprimer ce locataire ?,Do you want to delete this tenant ?,
tenant.label.choose.tenant,Choisir un locataire,Choose a tenant,
subtype.title.plural,Sous-Types,SubTypes,
document.plan.downgrade.error.manager,Merci de contacter le propriétaire du compte pour qu'il passe au plan supérieur de WAZO afin de pouvoir visualiser et télécharger ce document. ,Please contact the Account Owner. The subscription plan needs to be upgraded  in order to look at or download this  document. ,
invoice.imputation.amount.exceeding.percentage.message,L’imputation dépasse présentement 100% du total de la facture.,The allocation charge currently exceeds 100% of the total invoice.,
core.change.request,Requêtes,Requests,
building.field.name,Nom du bâtiment,Building Name,
user.profile.error.payment_default.title,Plan expiré,Expired Plan,
invoice.reason.reject,Raison du rejet,Reason for rejection,
tenant.field.bankAccountNumber,Numéro de compte bancaire,Financial institution account number,
ppa.status.data_error,Données incorrectes,Incorrect data,
core.percent,Pourcentage,Percentage,
bankAccount.synchronize.to.view.chart,Synchroniser le compte bancaire pour afficher le graphique,Synchronize bank account to view chart,
invoice.action.edit.imputation.error,Une erreur est survenue lors la modification de l’imputation,An error occurred while modifying the allocation,
rentItem.type.unit,Appartement,Apartment,
core.name,Nom,Name,
plan.alert.downgrade.yesLabel,Changer de plan,Change your plan,
core.bank.account.name,Nom du compte bancaire,Name of the bank account,
plan.description.mobile.building,Accès à l’ensemble de votre parc locatif ,Access to all your buildings,
lease.payment.frequency.semester,Semestre,Semester,
unit.title,Appartement,Apartment,
core.support,Support,Support,
authentication.sign-up.button.sign-up-with-email,S'inscrire avec une adresse courriel,Register with an email address,
plan.save.text,Économise 20% en payant annuellement.,Save 20% by paying annually.,
lease.revoke.message.description,"Attention vous révoquez un bail avant la fin, pensez à vérifier les recevables en cours.","Attention you revoke a lease before the end, remember to check the receivables in progress.",
unit.select.error.link,Vous devez déjà ajouter un appartement.,You must already add an apartment.,
invoice.action.edit.title,Modification de la facture,Edit invoice information,
core.lang.title,Langage,Language,
storage.action.add.first.message,Ajouter votre premier entreposage,Add your first storage,
ppa.status.refunded,Remboursé,Refunded,
lease.tenant.chosen.error,Vous avez déjà choisi ce locataire,You have already chosen this tenant,
lease.status.renew,Renouveler,Renew,
plan.price.per_month,/ mois,/ month,
manager.title.plural,Gestionnaires,Managers,
core.status.create.fail,Créer a échoué,Create failed,
invoice.status.planned,Planifié,Planned,
accounting.action.reschedule.payment,Replanifier le paiement,Reschedule payment,
authentication.sign-up-email.title,S'inscrire,Register,
payment.plan.form.state,Province/État,State,
invoiceTask.error.missing.supplier.name,Fournisseur manquant,Missing supplier,
building.action.add.first.message,Ajouter votre premier bâtiment,Add your first building,
invoiceTask.title.plural,Tableau de bord,Dashboard,
plan.benefit.price.save,Économisez,Save,
storage.information.plural,Informations de l'entreposage,Storage informations,
lease.label.no.lease,Aucun bail,No lease,
taskRule.delete.cant.description,Vous ne pouvez pas supprimé une règle d'approbation pour un utilisateur si celle-ci est en vigeur pour d'autre utilisateur de la plateforme. Il faut que vous modifiez le profile de l'utilisateur afin de pouvoir supprimé cette dernière.,"You cannot delete an approval rule for one user if it has been applied to other users. Therefore, if you wish to remove the approval rule for a particular user you must go his or her profile edit it.",
user.field.firstName.label,Prénom,First name,
user.delete.forbidden.message.title,Impossible de supprimer cet utilisateur,Can't delete this user,
plan.description.users.personal.description,Wazo vous permet d'appliquer des vues limitées à vos collaborateurs.,You can set up visibility limited to certain of your employees.,
core.action.delete.pending,La suppression est en cours. Vous serez averti lorsque l'action sera terminée.,The deletion is in progress. You will be notified when the action is finished.,
payment.plan.form.credit.card.information,Informations sur la carte,Credit card informations,
payment.plan.form.error.required,Ce champ est requis,This field is required,
core.about,À propos,About,
bankAccount.add.new,Ajouter un nouveau compte bancaire,Add new bank account,
type.title.plural,Types,Types,
invoice.information,Information de la facture,Invoice information,
invoice.status.pending,En traitement,Processing,
core.action.upload.logo.error,Merci de respecter le format JPG ou PNG.,Please upload in JPG or PNG format ,
supplier.action.contact,Contacter le fournisseur,Contact supplier,
lease.field.discount.error.message.invalid,La promotion doit être seulement composé de chiffres,Discount must only consist of numbers,
core.error.not_acceptable.code,Erreur 406 ,406 Error,
amountRule.NoMaximum,Pas de maximum,No maximum,
supplier.action.add.title,Ajout d'un fournisseur,Add a supplier,
document.category.other,Autre correspondance,Other correspondence,
quote.add.project.new.client,Client,Client,
ppa.status.to_verify,À vérifier ,To check,
